dominio,scraped_at,id,nombre,foto,estado,urgente,caso_especial,clase,desde,sexo,edad,nacimiento,raza,tamano,peso,chip,situacion,localidad,salud,descripcion
asokaelgrande.org,2018-04-15 21:25:51.699150,8650,África,http://asokaelgrande.org/_mibambu/_asoka/imas/flecha_anterior.jpg,en adopción,NO,NO,perros,8-4-2018,Hembra,10 meses y 7 días,6/2017,Mix Galgo,Grande,21 KG,NA,NA,Alicante (Alicante),"Desparasitada, vacunada.",NA
asokaelgrande.org,2018-04-15 21:25:51.712946,8651,Toto,http://asokaelgrande.org/_mibambu/_asoka/imas/flecha_anterior.jpg,en adopción,NO,NO,perros,8-4-2018,Macho,7 años,4/2011,Yorkshire Terrier,Pequeño,"4,6 KG",NA,NA,Alicante (Alicante),"Desparasitado, vacunado.",NA
asokaelgrande.org,2018-04-15 21:25:51.727146,3500,Lana,http://asokaelgrande.org/_mibambu/_asoka/imas/flecha_anterior.jpg,en adopción,NO,NO,perros,25-4-2012,Hembra,7 años,3/2011,Mestiza,Pequeño,NA,NA,NA,Alicante,"Esterilizada, vacunada y desparasitada",Lana ha convivido con gatos y se lleva genial con ellos.
asokaelgrande.org,2018-04-15 21:25:51.740725,1182,Epa,http://asokaelgrande.org/_mibambu/_asoka/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,10-6-2009,Hembra,9 años,4/2009,Común,Pequeño,NA,NA,NA,Alicante,Buena Desparasitada y vacunada. Esterilizada. Analíticas negativas en Leucemia e Inmunodeficiencia (VIF).,"Gatita todavía asustadiza pero muy buena y tranquila. Se estaba volviendo más confiada pero entonces se quedó sin su hermano Blas (que fue adoptado) y se ha vuelto más miedosa y le cuesta confiar en las personas. Cuando vas a acariciarla se agacha y encoge asustada, pero cuando comprueba que “no le vas a hacer daño, sino todo lo contrario” se relaja un poco y deja que le hagas mimos. En un hogar con atenciones más continuadas y con paciencia dejaría de tener miedo más rápidamente … ¿te animas?"
alicanteadopta.org,2018-04-15 21:25:51.762234,4358,ARCHI,imas/animales/_4358/a_43581467585963.jpg,perdido,NO,NO,Ave,1-7-2016,Macho,1 año y 4 meses,11/2016,Loro,Mediano,NA,NA,NA,Alicante (Alicante),NA,Archi se ha escapado de casa por la Av. de Alcoy de Alicante.
alicanteadopta.org,2018-04-15 21:25:51.773804,4351,LUNA,imas/animales/_4351/a_43511467547108.jpg,recuperado,NO,NO,Perro,3-7-2016,Hembra,11 años y 1 mes,2/2007,Mestizo,Mediano,NA,NA,NA,Torrellano (Alicante),Salud,Luna se ha escapado de su casa en el campo por segunda vez debido al terror que le tiene a los petardos.
alicanteadopta.org,2018-04-15 21:25:51.785364,4348,KIRRI,http://alicanteadopta.org/_mibambu/_alicanteadopta/imas/flecha_anterior.jpg,recuperado,NO,NO,Perro,30-7-2016,Macho,4 años y 3 meses,12/2013,Galgo,Mediano,NA,NA,NA,Elche (Alicante),NA,"Kirri se escapó de casa el 30 de junio en Las Bayas, Elche."
alicanteadopta.org,2018-04-15 21:25:51.799374,4391,TARA,imas/animales/_4391/a_43911473590422.jpg,recuperado,SI,NO,Perro,9-9-2016,Hembra,3 años y 3 meses,12/2014,Pointer,Mediano,NA,Sí,NA,Alicante (Alicante),NA,Tara se ha perdido entre Ciudad de Asís y el Pau (Alicante). Huyó dirección Lagos de Rabasa.
alicanteadopta.org,2018-04-15 21:25:51.810715,4394,Se busca a la familia de este perrito,imas/animales/_4394/a_43941473923148.jpg,encontrado,NO,NO,Perro,11-9-2016,Macho,3 años y 2 meses,2/2015,Shih tzu,Pequeño,NA,NA,Casa de acogida,Alicante (Alicante),NA,Este shih tzu vivía con una persona en la calle y se piensa que ha podido ser robado.
adoptasalvaunavida.com,2018-04-15 21:25:51.830758,2003,Ari,http://adoptasalvaunavida.com/_mibambu/_salvaunavida/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-2-2018,Macho,2 años y 1 mes,2/2016,Podenco,Mediano,26 Kgs.,NA,Casa de acogida,Valencia (Valencia),Salud,"ESTADO ACTUAL: En su hogar, pero con tiempo limitado."
adoptasalvaunavida.com,2018-04-15 21:25:51.844031,2005,Nina,http://adoptasalvaunavida.com/_mibambu/_salvaunavida/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-2-2018,Hembra,4 años y 1 mes,2/2014,Mestiza,Pequeño,5 Kgs.,NA,Residencia,Valencia (Valencia),Salud,"Nina fue recogida por la perrera en Requena, porque llevaba casi un mes en la calle."
adoptasalvaunavida.com,2018-04-15 21:25:51.856805,2006,Jazz,http://adoptasalvaunavida.com/_mibambu/_salvaunavida/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-2-2018,Macho,"10 meses , 21 días",5/2017,Mestizo,Mediano,16 Kgs.,NA,Casa de acogida,Valencia (Valencia),Salud,A Jazz se lo encontraron corriendo sin rumbo muy asustado y desorientado.
adoptasalvaunavida.com,2018-04-15 21:25:51.869212,2007,Luna,http://adoptasalvaunavida.com/_mibambu/_salvaunavida/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-2-2018,Hembra,1 año y 1 mes,2/2017,Mestiza,Grande,29 Kgs.,NA,Casa de acogida,Valencia (Valencia),Salud,Luna fue adoptada de cachorra en una gran tienda de animales de la Pobla de Vallbona.
adopcioneslamadrilena.org,2018-04-15 21:25:52.036201,62,Snoopy,http://adopcioneslamadrilena.org/_mibambu/_lamadrilena/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,9-7-2011,Macho,11 años y 1 mes,3/2007,Cruce de Pastor Alemán,Mediano,NA,NA,NA,Madrid (Madrid),NA,Snoopy es un perro muy bueno pero muy asustadizo que se perdió el pasado 09/07/2011 por la zona de Usera - Villaverde.
adopcioneslamadrilena.org,2018-04-15 21:25:52.067833,277,Paco - PERDIDO en MADRID,imas/animales/_277/a_2771348272797.jpg,perdido,NO,NO,Gato,21-9-2012,Macho,10 años y 6 meses,9/2007,Gato Común Atigrado,Pequeño,NA,NA,NA,Madrid (Madrid),Castrado,- Zona Atocha-Lavapiés -
adopcioneslamadrilena.org,2018-04-15 21:25:52.233478,325,Lana - PERDIDA en MADRID,http://adopcioneslamadrilena.org/_mibambu/_lamadrilena/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,8-12-2012,Hembra,5 años y 3 meses,12/2012,Cruce de Chihuahua,Pequeño,NA,NA,NA,Madrid (Madrid),NA,- Zona Arturo Soria -
adopcioneslamadrilena.org,2018-04-15 21:25:52.247895,382,Arya - PERDIDA en MADRID,http://adopcioneslamadrilena.org/_mibambu/_lamadrilena/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,2-4-2013,Hembra,6 años,4/2012,Cruce,Pequeño,NA,NA,NA,Madrid (Madrid),Nº de chip: 941 00 00 147 369 72 Esterilizada,- Zona ENSANCHE DE VALLECAS -
protectoraosbiosbardos.org,2018-04-15 21:25:52.295668,1753,Anira,http://protectoraosbiosbardos.org/_mibambu/_ponteareas/imas/flecha_anterior.png,en adopción,NO,NO,Perro,3-3-2018,Hembra,1 año y 9 meses,7/2016,NA,Pequeño,NA,NA,Refugio,Ponteareas (Pontevedra),NA,Despois de moito tempo viviendo na rua xunto a Choiva e Marina puidemos rescatalas e polas a salvo dos perigos da rua.
protectoraosbiosbardos.org,2018-04-15 21:25:52.310858,1754,Bora,http://protectoraosbiosbardos.org/_mibambu/_ponteareas/imas/flecha_anterior.png,en adopción,NO,NO,Perro,3-3-2018,Hembra,5 años y 10 meses,6/2012,NA,Pequeño,"8,9kg",NA,Casa de acogida,Ponteareas (Pontevedra),NA,"Bora apareceu nunha parroquia de Arbo bagando pola mesma zona cando nos deu aviso unha veciña que a alimentaba, despois de un tempo gañandose a sua confianza deronse conta que pariu na rua. So vimos un cachorriñ@...non sabemos se naceron mais peor puidemos recollela a ela mais o seu fillo."
protectoraosbiosbardos.org,2018-04-15 21:25:52.325877,1755,Anthea,http://protectoraosbiosbardos.org/_mibambu/_ponteareas/imas/flecha_anterior.png,en adopción,NO,NO,Perro,3-3-2018,Hembra,4 años y 1 mes,3/2014,NA,Pequeño,9kg,981098106638366,Casa de acogida,Ponteareas (Pontevedra),NA,PRINCESIÑA EN ADOPCIÓN! &#10084;&#65039;
protectoraosbiosbardos.org,2018-04-15 21:25:52.341412,1757,Anisse,http://protectoraosbiosbardos.org/_mibambu/_ponteareas/imas/flecha_anterior.png,en adopción,NO,NO,Perro,3-3-2018,Hembra,5 meses y 14 días,11/2017,NA,Pequeño,NA,NA,Casa de acogida,Ponteareas (Pontevedra),NA,PRECISAMOS ACOLLIDA OU ADOPCIÓN PARA ESTES CACHORRIÑOS!!!!
protectoraosbiosbardos.org,2018-04-15 21:25:52.357681,1763,Daneris,http://protectoraosbiosbardos.org/_mibambu/_ponteareas/imas/flecha_anterior.png,en adopción,NO,NO,Perro,3-3-2018,Hembra,2 años y 5 meses,11/2015,NA,Pequeño,NA,NA,Casa de acogida,Ponteareas (Pontevedra),NA,Esta nai coraxe e @s seus cachorr@s foron rescatadas cando as suas vidas comezaban nun lugar nada apropiado para elas. Agora agardan nun fogar de acollida a espera de que deixe de dar de mamar para poder ser adoptada e por suposto esterilizada para que non continue o sufrimento para ela
protectorabaix.org,2018-04-15 21:25:52.385596,1407,Nozi*,http://protectorabaix.org/_mibambu/_pbaix/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-1-2017,Macho,1 año y 8 meses,8/2016,Mestizo,Grande,NA,PB-2017/020-G,Casa de acogida,Crevillente (Alicante),NA,"Este pequeño junto con sus hermanos están buscando un hogar, son fruto de una camada de la que no pueden hacerse cargo de todos los cachorros... Será de tamaño de grande. ¿Quieres darle el hogar que se merece?"
protectorabaix.org,2018-04-15 21:25:52.399817,1408,Kormi*,http://protectorabaix.org/_mibambu/_pbaix/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-1-2017,Macho,1 año y 9 meses,7/2016,Mestizo,Grande,NA,PB-2017/019-G,Casa de acogida,Crevillente (Alicante),NA,"Este pequeño junto con sus hermanos están buscando un hogar, son fruto de una camada de la que no pueden hacerse cargo de todos los cachorros... Será de tamaño de grande. ¿Quieres darle el hogar que se merece?"
protectorabaix.org,2018-04-15 21:25:52.415726,1409,Maci*,http://protectorabaix.org/_mibambu/_pbaix/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,25-1-2017,Macho,1 año y 9 meses,7/2016,Mestizo,Grande,NA,PB-2017/018-G,Casa de acogida,Crevillente (Alicante),NA,"Este pequeño junto con sus hermanos están buscando un hogar, son fruto de una camada de la que no pueden hacerse cargo de todos los cachorros... Será de tamaño de grande. ¿Quieres darle el hogar que se merece?"
protectorabaix.org,2018-04-15 21:25:52.435653,1394,MAX 5*,http://protectorabaix.org/_mibambu/_pbaix/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,26-1-2017,Macho,1 año y 10 meses,6/2016,BRETÓN,Mediano,NA,PB-2017/023-M,Casa de acogida,Elche (Alicante),Desparasitado,"Max fue encontrado por los campos, empapado, agotado y muerto de hambre."
protectorabaix.org,2018-04-15 21:25:52.449065,412,CLEO,http://protectorabaix.org/_mibambu/_pbaix/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,6-5-2014,Hembra,4 años y 2 meses,1/2014,Bretón y Jack Rusell,Pequeño,9 kg,PB-2014/066-P,Casa de acogida,Elche (Alicante),Vacunada y desparasitada. Esterilizada. Con chip.,"Cleo fue adoptada hace unos años, pero es una perra demasiado nerviosa y con fuertes instintos cazadores. Necesita una familia que le de toda la actividad que cloe necesita, que la saque a correr y a jugar con la pelota. O que viva en un campo donde descargue toda su energía."
alicanteadopta.org,2018-04-15 21:25:52.469540,3971,PIRRY,http://alicanteadopta.org/_mibambu/_alicanteadopta/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,5-10-2015,Macho,3 años y 4 meses,11/2014,Cruce de american stafford,Mediano,NA,NA,Casa de acogida,Teulada (Alicante),Salud,"Pirry es un cachorrón de american sttaford de 10 meses que que ante la llegada de un bebé al hogar que padece alergia, busca nueva familia para él que lo quiera y lo cuide."
alicanteadopta.org,2018-04-15 21:25:52.481978,4006,NIKKI,http://alicanteadopta.org/_mibambu/_alicanteadopta/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,15-10-2015,Hembra,5 años y 5 meses,10/2012,Cruce de pastor alemán,Mediano,NA,NA,Casa de acogida,Alicante (Alicante),NA,La familia de Nikki se ha quedado sin recursos y se ha visto en la difícil situación de tener que buscarle un hogar.
alicanteadopta.org,2018-04-15 21:25:52.493977,4040,LUCAS,imas/animales/_4040/a_40401445893577.jpg,en adopción,NO,NO,Perro,26-10-2015,Macho,3 años y 11 meses,4/2014,Rottweiler,Grande,NA,NA,Casa de acogida,San Vicente del Raspeig (Alicante),Salud,"Lucas es un precioso rottweiler de 19 meses, un chicote muy mimado que necesita un nuevo hogar tras el deterioro de la salud de su dueño."
alicanteadopta.org,2018-04-15 21:25:52.507313,4043,CHIQUI,imas/animales/_4043/a_40431446837507.jpg,en adopción,SI,NO,Perro,6-11-2015,Macho,3 años y 1 mes,2/2015,Mestizo,Mediano,8 kg,NA,NA,Alicante (Alicante),Salud,Este pequeñín es Chiqui.
alicanteadopta.org,2018-04-15 21:25:52.520766,4083,TOOTS,imas/animales/_4083/a_40831449858201.jpg,adoptado,SI,NO,Gato,11-12-2015,Macho,15 años y 8 meses,7/2002,Común europeo bicolor,Grande,NA,NA,NA,(Alicante),NA,Toots es un gatito de 13 años que busca familia.
argos-sevilla.org,2018-04-15 21:25:52.542028,705,Fanta,http://argos-sevilla.org/_mibambu/_argos/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,8-8-2017,Hembra,1 año y 6 meses,10/2016,Mastín español,Grande,NA,NA,NA,Sevilla (Sevilla),NA,"Fanta estaba abandonada en un polígono industrial, en plena ola de calor. Llegó bastante delgada y sus análisis dieron positivo en erlichia, razón por la que se encontraba tan cansada y aprovechaba cualquier momento para echarse. Tras un tiempo de tratamiento, ha mejorado mucho, y hasta la cara le ha cambiado."
argos-sevilla.org,2018-04-15 21:25:52.562777,706,Angelito,http://argos-sevilla.org/_mibambu/_argos/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,24-8-2017,Macho,2 años y 7 meses,9/2015,Braco,Grande,NA,NA,NA,Sevilla (Sevilla),NA,"Angelito fue encontrado abandonado en medio del campo en unas condiciones terribles de debilidad a causa de la desnutrición, la anemia y las infestaciones de parásitos que sufría. Era tal su estado de extenuación que no aguantaba en pie más de unos pocos segundos, y en cuanto podía se echaba."
argos-sevilla.org,2018-04-15 21:25:52.578002,564,Zarca,http://argos-sevilla.org/_mibambu/_argos/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,30-3-2015,Hembra,4 años y 1 mes,2/2014,Cruce Border Collie,Mediano,NA,NA,NA,Sevilla,NA,"Zarca es una perrita que una familia que estaban de okupas en una casa aún no terminada abandonaron allí cuando se fueron. La dejaron atada, sin agua ni comida. Unos vecinos de la zona, que la oyeron llorar desconsoladamente, intentaron rescatarla, pero la pobre tenía tanto miedo que se les escapó. Estuvo una semana vagando por la zona, y al final el hambre y la debilidad la hicieron acercarse, con lo que por fin pudieron cogerla."
argos-sevilla.org,2018-04-15 21:25:52.594869,717,Medina,http://argos-sevilla.org/_mibambu/_argos/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,6-10-2017,Hembra,1 año,4/2017,Cruce de Galgo y Podenco,Grande,NA,NA,NA,NA,NA,"Medina was rescued together with another podenco by a couple of british tourists in the mountains near Cadiz. She's the loveliest doggie, happy, friendly, super nice."
argos-sevilla.org,2018-04-15 21:25:52.609281,718,Gades,http://argos-sevilla.org/_mibambu/_argos/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,6-10-2017,Macho,1 año y 3 meses,1/2017,Podenco,Mediano,NA,NA,NA,NA,NA,"Gades was rescued by a couple of british tourists in the mountains near Cadiz. He is a lovely doggy, friendly and docile, just slightly shy probably due to some bad experience."
adoptasalvaunavida.com,2018-04-15 21:25:52.623159,2026,Honey,http://adoptasalvaunavida.com/_mibambu/_salvaunavida/imas/flecha_anterior.jpg,en adopción,NO,NO,Perro,7-3-2018,Hembra,"7 meses , 8 días",9/2017,Podenco,Mediano,NA,NA,Residencia,Valencia (Valencia),Salud,Honey fue encontrada vagando en el campo de una población de Valencia.
protectora-apadac.org,2018-04-15 21:25:52.640135,2735,MANUELA,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,7-5-2017,Hembra,1 año,3/2017,MESTIZA,Pequeño,NA,NA,NA,Callosa de Segura (Alicante),BUENA,"Manuela busca familia definitiva, ella y sus hermanitos fueron abandonados, se encuentran en casas de acogida pero ya comen solitos y en breve vendrán a la protectora, queremos evitar que tenga que pasar por esto."
protectora-apadac.org,2018-04-15 21:25:52.656944,2765,Tolo,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,19-6-2017,Hembra,1 año,3/2017,NA,Mediano,NA,NA,NA,Callosa de Segura (Alicante),Muy buena. Castrado Testado Vacunado.,"Tolo,ha sido rescatado ,en la calle con ?os ojitos muy mal y muy resfriado."
protectora-apadac.org,2018-04-15 21:25:52.673564,2764,Amaya,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,4-7-2017,Hembra,1 año,3/2017,NA,Mediano,NA,NA,NA,Callosa de Segura (Alicante),Muy buena. Vacunada.,"Amaya es una preciosidad,que busca cari?o a todas horas."
protectora-apadac.org,2018-04-15 21:25:52.688139,2750,BATMAN,imas/animales/_2750/a_27501500713757.jpg,en adopción,SI,NO,Gato,22-7-2017,Macho,10 meses y 25 días,5/2017,MESTIZO,Mediano,NA,NA,NA,Catral (Alicante),NA,"URGENTE ¡¡¡¡¡¡¡¡¡BATMAN SE HA PERDIDO EN CATRAL, POR LA ZONA DELANTE DEL CONSUM, ES URGENTE QUE LO ENCONTREMOS. SE PERDIÓ EL VIERNES 21 DE JULIO DEL 2017 A LAS 11:30 DE LA MAÑANA, POR FAVOR SI ALGUIEN LO HA VISTO O LO TIENE CONTACTE CON"
protectora-apadac.org,2018-04-15 21:25:52.701058,2757,Mia,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,en adopción,NO,NO,Gato,17-10-2017,Hembra,1 año,3/2017,NA,Mediano,NA,NA,NA,NA,Muy buena. Vacunada.,"M?a es una gatita muy buena,que solo quiere caricias."
protectora-apadac.org,2018-04-15 21:25:52.724282,2045,SE BUSCA!!!!!!,imas/animales/_2045/a_20451412526780.jpg,perdido,NO,NO,Perro,5-10-2014,Macho,13 años y 7 meses,9/2004,MESTIZO,Pequeño,NA,NA,NA,Callosa de Segura (Alicante),BUENA,"Tiene 10 años es de tamaño medio mestizo, es de color marrón claro y blanco y llevaba como collar un hilo verde ya que el suyo se había roto. Se escapo entre la zona de Orihuela y la carretera de Beniel."
protectora-apadac.org,2018-04-15 21:25:52.736872,2047,TIM,imas/animales/_2047/a_20471413141539.jpg,encontrado,NO,NO,Perro,12-10-2014,Macho,6 años,3/2012,MESTIZO,Pequeño,NA,NA,NA,Callosa de Segura (Alicante),BUENA,"Tim se perdió el día 11 de octubre de 2014, en el municipio de Granja de Rocarmora, tiene muchisimo miedo de los petardos y salió corriendo, su familia está muy preocupada, tiene chip y es albino. por favor si lo ves contacta con nosotros URGENTE."
protectora-apadac.org,2018-04-15 21:25:52.748921,2079,GITANA,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,perdido,NO,NO,Perro,28-10-2014,Hembra,4 años y 6 meses,9/2013,MESTIZA,Mediano,NA,NA,NA,Callosa de Segura (Alicante),BUENA,"Ayúdanos, SE HA PERDIDO!!"
protectora-apadac.org,2018-04-15 21:25:52.762724,2089,WHITE,http://protectora-apadac.org/_mibambu/_apadac/imas/flecha_anterior.jpg,recuperado,NO,NO,Perro,9-11-2014,Macho,4 años y 7 meses,8/2013,MESTIZO,Pequeño,NA,NA,NA,Callosa de Segura (Alicante),BUENA,"Este precioso albino, estaba solito por la calle, tiene el pelo bien cuidado y no parece abandonado, no lleva chip pero no descartamos que tenga dueño, si nadie lo reclama lo daremos en adopción. Es de tamaño pequeño y de buen caracter."
protectora-apadac.org,2018-04-15 21:25:52.775407,2749,BATMAN,imas/animales/_2749/a_27491500713361.jpg,perdido,SI,NO,Gato,22-7-2017,Macho,9 meses y 27 días,6/2017,MESTIZO,Mini,NA,NA,NA,Catral (Alicante),BUENA,"¡¡¡¡URGENTE ¡¡¡¡¡¡¡¡¡BATMAN SE HA PERDIDO EN CATRAL, POR LA ZONA DELANTE DEL CONSUM, ES URGENTE QUE LO ENCONTREMOS. SE PERDIO EL VIERNES 21 DE JULIO DEL 2017 A LAS 11:30 DE LA MAÑANA, POR FAVOR SI ALGUIEN LO HA VISTO O LO TIENE QUE SE PONGA EN CONTACTO. MUCHAS GRACIAS"
